Hour,SentimentBand,Count,Total
18,-90,5431,4272289
18,-85,19219,4272289
18,-80,23812,4272289
18,-75,30423,4272289
18,-70,34967,4272289
18,-65,39951,4272289
18,-60,45209,4272289
18,-55,51309,4272289
18,-50,74766,4272289
18,-45,72458,4272289
18,-40,45749,4272289
18,-35,62766,4272289
18,-30,57929,4272289
18,-25,77548,4272289
18,-20,50968,4272289
18,-15,35011,4272289
18,-10,42335,4272289
18,-5,36668,4272289
18,0,1804946,4272289
18,5,28078,4272289
18,10,45897,4272289
18,15,35230,4272289
18,20,51248,4272289
18,25,76325,4272289
18,30,74620,4272289
18,35,99075,4272289
18,40,147192,4272289
18,45,143620,4272289
18,50,116255,4272289
18,55,104325,4272289
18,60,132573,4272289
18,65,118348,4272289
18,70,92519,4272289
18,75,98441,4272289
18,80,89748,4272289
18,85,88543,4272289
18,90,70154,4272289
18,95,40643,4272289
18,100,7347,4272289
19,-95,622,4372734
19,-90,5509,4372734
19,-85,18843,4372734
19,-80,23231,4372734
19,-75,29946,4372734
19,-70,34921,4372734
19,-65,40406,4372734
19,-60,45939,4372734
19,-55,52742,4372734
19,-50,76233,4372734
19,-45,73810,4372734
19,-40,46898,4372734
19,-35,63449,4372734
19,-30,59424,4372734
19,-25,80320,4372734
19,-20,52472,4372734
19,-15,36041,4372734
19,-10,42704,4372734
19,-5,37626,4372734
19,0,1834484,4372734
19,5,28353,4372734
19,10,46558,4372734
19,15,36261,4372734
19,20,52486,4372734
19,25,78101,4372734
19,30,76043,4372734
19,35,101092,4372734
19,40,152661,4372734
19,45,150067,4372734
19,50,119654,4372734
19,55,107425,4372734
19,60,137363,4372734
19,65,123494,4372734
19,70,96226,4372734
19,75,102867,4372734
19,80,92987,4372734
19,85,93031,4372734
19,90,72955,4372734
19,95,41958,4372734
19,100,7532,4372734
20,-95,600,4599472
20,-90,5790,4599472
20,-85,19950,4599472
20,-80,24798,4599472
20,-75,31983,4599472
20,-70,37140,4599472
20,-65,42887,4599472
20,-60,48676,4599472
20,-55,56188,4599472
20,-50,81117,4599472
20,-45,77833,4599472
20,-40,49498,4599472
20,-35,68339,4599472
20,-30,62566,4599472
20,-25,84188,4599472
20,-20,55236,4599472
20,-15,38397,4599472
20,-10,44612,4599472
20,-5,38992,4599472
20,0,1909349,4599472
20,5,30021,4599472
20,10,50066,4599472
20,15,39553,4599472
20,20,55744,4599472
20,25,82523,4599472
20,30,80343,4599472
20,35,107194,4599472
20,40,162935,4599472
20,45,156716,4599472
20,50,125373,4599472
20,55,114322,4599472
20,60,143830,4599472
20,65,134134,4599472
20,70,103851,4599472
20,75,108119,4599472
20,80,98937,4599472
20,85,97424,4599472
20,90,77014,4599472
20,95,45575,4599472
20,100,7659,4599472
21,-95,619,4715764
21,-90,6285,4715764
21,-85,20529,4715764
21,-80,25840,4715764
21,-75,33378,4715764
21,-70,38815,4715764
21,-65,44579,4715764
21,-60,50933,4715764
21,-55,58244,4715764
21,-50,84770,4715764
21,-45,81124,4715764
21,-40,51771,4715764
21,-35,70311,4715764
21,-30,63702,4715764
21,-25,87986,4715764
21,-20,56769,4715764
21,-15,38997,4715764
21,-10,46332,4715764
21,-5,40313,4715764
21,0,1958465,4715764
21,5,30342,4715764
21,10,51291,4715764
21,15,39921,4715764
21,20,57603,4715764
21,25,85194,4715764
21,30,82211,4715764
21,35,109898,4715764
21,40,163402,4715764
21,45,160288,4715764
21,50,127717,4715764
21,55,114529,4715764
21,60,146464,4715764
21,65,134662,4715764
21,70,103073,4715764
21,75,109861,4715764
21,80,101744,4715764
21,85,101402,4715764
21,90,80578,4715764
21,95,47699,4715764
21,100,8123,4715764
22,-95,613,4568849
22,-90,6014,4568849
22,-85,20101,4568849
22,-80,25230,4568849
22,-75,32246,4568849
22,-70,37569,4568849
22,-65,43826,4568849
22,-60,49592,4568849
22,-55,56739,4568849
22,-50,80446,4568849
22,-45,77595,4568849
22,-40,50224,4568849
22,-35,67873,4568849
22,-30,62031,4568849
22,-25,84947,4568849
22,-20,55707,4568849
22,-15,37354,4568849
22,-10,44044,4568849
22,-5,39696,4568849
22,0,1907376,4568849
22,5,29702,4568849
22,10,49288,4568849
22,15,38330,4568849
22,20,54512,4568849
22,25,82076,4568849
22,30,79364,4568849
22,35,106373,4568849
22,40,156940,4568849
22,45,155281,4568849
22,50,121267,4568849
22,55,110856,4568849
22,60,141205,4568849
22,65,129008,4568849
22,70,101024,4568849
22,75,106804,4568849
22,80,97953,4568849
22,85,97429,4568849
22,90,77724,4568849
22,95,46301,4568849
22,100,8189,4568849
23,-95,638,4095718
23,-90,5195,4095718
23,-85,17960,4095718
23,-80,22201,4095718
23,-75,28248,4095718
23,-70,33142,4095718
23,-65,38296,4095718
23,-60,43602,4095718
23,-55,49235,4095718
23,-50,70825,4095718
23,-45,68371,4095718
23,-40,43587,4095718
23,-35,59618,4095718
23,-30,53701,4095718
23,-25,74066,4095718
23,-20,48588,4095718
23,-15,33524,4095718
23,-10,39108,4095718
23,-5,33910,4095718
23,0,1742850,4095718
23,5,26051,4095718
23,10,43588,4095718
23,15,33430,4095718
23,20,48317,4095718
23,25,71328,4095718
23,30,69505,4095718
23,35,93173,4095718
23,40,140223,4095718
23,45,135840,4095718
23,50,109014,4095718
23,55,98251,4095718
23,60,124201,4095718
23,65,115261,4095718
23,70,89744,4095718
23,75,94558,4095718
23,80,87562,4095718
23,85,87492,4095718
23,90,70388,4095718
23,95,43337,4095718
23,100,7790,4095718
