RegionId,Name,Observations,Sum,Sentiment
209021205,"Kingsbury",124,5782.57,46.63
212011291,"Pakenham - North",52,2430.81,46.75
212051322,"Glen Waverley - West",122,4916.05,40.30
209011200,"Ivanhoe",82,3067.56,37.41
503011032,"Cottesloe",351,16467.20,46.92
505011083,"Woodvale",95,4794.77,50.47
404031107,"Plympton",138,6020.58,43.63
402041048,"Salisbury North",24,1045.97,43.58
403041087,"Seaford (SA)",104,5031.35,48.38
401041016,"Rostrevor - Magill",48,2258.31,47.05
402051053,"Modbury Heights",88,4225.81,48.02
402041047,"Salisbury East",104,4779.06,45.95
402021032,"Munno Para West - Angle Vale",28,987.91,35.28
401021004,"Aldgate - Stirling",231,10250.86,44.38
402021035,"Virginia - Waterloo Corner",30,1067.51,35.58
401061021,"Prospect",173,7809.96,45.14
208011171,"Cheltenham - Highett (West)",235,10897.08,46.37
211051275,"Chirnside Park",114,5094.17,44.69
212051324,"Mount Waverley - South",134,4899.49,36.56
212031300,"Cranbourne",34,1568.16,46.12
120011383,"Concord - Mortlake - Cabarita",146,6423.11,43.99
211011258,"Rowville - South",32,1151.84,36.00
123011435,"Mount Annan - Currans Hill",67,3052.95,45.57
305031122,"Clayfield",59,2452.59,41.57
124031463,"Mulgoa - Luddenham - Orchard Hills",88,4296.62,48.83
403041083,"McLaren Vale",366,17090.30,46.69
403021060,"Marino - Seaview Downs",39,1823.96,46.77
207031166,"Burwood East",136,5519.45,40.58
212051323,"Mount Waverley - North",60,1979.27,32.99
311051325,"Loganholme - Tanah Merah",101,1818.95,18.01
302021027,"Aspley",100,4332.76,43.33
305021114,"Bulimba",142,7535.19,53.06
304031097,"Taringa",37,40.20,1.09
120031390,"Ashfield",289,11919.37,41.24
125041491,"Northmead",74,3670.45,49.60
127021511,"Cabramatta - Lansvale",131,4703.63,35.91
118021564,"Kensington (NSW)",223,10775.29,48.32
121021577,"Hornsby - East",150,5789.34,38.60
127031523,"Chipping Norton - Moorebank",48,1688.87,35.18
601061035,"Sorell - Richmond",84,3953.26,47.06
115011559,"Kellyville",180,6423.62,35.69
107041148,"Thirroul - Austinmer - Coalcliff",114,4803.44,42.14
404031106,"Lockleys",50,2545.59,50.91
403041072,"Aldinga",125,5604.82,44.84
403041089,"Woodcroft",11,673.15,61.20
401071023,"Goodwood - Millswood",376,17971.02,47.80
404021099,"Largs Bay - Semaphore",332,14189.94,42.74
404011093,"Hindmarsh - Brompton",573,24875.07,43.41
213041461,"Burnside",13,332.05,25.54
208031193,"Mordialloc - Parkdale",203,8172.94,40.26
801051053,"Civic",1225,52004.60,42.45
801031114,"Canberra Airport",117,4537.04,38.78
801041036,"Casey",69,2198.09,31.86
801011006,"Dunlop",13,318.66,24.51
801041046,"Ngunnawal",10,559.06,55.91
101021009,"Queanbeyan",110,4065.73,36.96
503021037,"Kings Park (WA)",375,17080.28,45.55
507041181,"Melville",65,3848.60,59.21
505011070,"Craigie - Beldon",14,628.13,44.87
507041175,"Applecross - Ardross",142,7447.58,52.45
507051187,"Port Kennedy",94,4632.48,49.28
507041178,"Booragoon",123,6224.05,50.60
506011110,"Armadale - Wungong - Brookdale",72,2301.38,31.96
507011155,"Henderson",13,718.55,55.27
505021093,"Stirling - Osborne Park",108,4096.67,37.93
507011151,"Bibra Lake",8,267.17,33.40
505011071,"Currambine - Kinross",28,1429.52,51.05
506021121,"Perth Airport",424,16525.86,38.98
124031462,"Kingswood - Werrington",373,21673.16,58.10
404031104,"Adelaide Airport",269,10432.30,38.78
403041071,"Aberfoyle Park",50,1632.60,32.65
401031011,"Burnside - Wattle Park",151,6651.05,44.05
403011056,"Brighton (SA)",170,7411.37,43.60
403021064,"Warradale",174,6674.60,38.36
402021034,"Smithfield - Elizabeth North",21,578.57,27.55
402011026,"Gawler - South",260,9739.19,37.46
407031166,"Murray Bridge Region",24,672.03,28.00
401021003,"Adelaide Hills",99,4904.64,49.54
403041086,"Reynella",36,1618.76,44.97
304031093,"Corinda",42,2116.22,50.39
305031130,"Windsor",80,3043.32,38.04
207011155,"Surrey Hills (West) - Canterbury",91,3941.85,43.32
208011170,"Brighton East",157,5437.63,34.63
208021174,"Bentleigh - McKinnon",169,7831.37,46.34
115011555,"Castle Hill - North",118,4586.01,38.86
603021069,"Bruny Island - Kettering",51,2040.07,40.00
127011506,"Cobbitty - Leppington",170,4890.48,28.77
601051030,"New Town",32,1223.71,38.24
603011067,"Southern Midlands",56,2084.64,37.23
206011107,"Brunswick West",85,3523.36,41.45
402051055,"St Agnes - Ridgehaven",53,2411.29,45.50
213011334,"St Albans - North",46,2324.54,50.53
118011344,"Dover Heights",93,3396.24,36.52
119041382,"Sans Souci - Ramsgate",99,4911.05,49.61
207011149,"Camberwell",222,9258.27,41.70
207011152,"Hawthorn East",167,8851.69,53.00
301021007,"Cleveland",201,9631.20,47.92
801051049,"Acton",203,8580.89,42.27
801051058,"O'Connor (ACT)",56,2870.12,51.25
801011015,"Holt",19,806.07,42.42
207021424,"Doncaster East (North)",40,1696.48,42.41
208021182,"Ormond - Glen Huntly",90,4687.82,52.09
507011160,"Spearwood",54,1838.36,34.04
506011114,"Kelmscott",136,7938.19,58.37
507051185,"Baldivis",98,4113.90,41.98
209021208,"Reservoir - West",203,8155.33,40.17
120011386,"Five Dock - Abbotsford",187,6874.10,36.76
124031458,"Castlereagh - Cranebrook",134,5291.97,39.49
302021032,"Stafford",250,8235.34,32.94
507011161,"Success - Hammond Park",61,2502.82,41.03
120011384,"Concord West - North Strathfield",232,9897.52,42.66
404011095,"Seaton - Grange",87,4299.99,49.43
401051019,"St Peters - Marden",113,5321.76,47.10
401061020,"Nailsworth - Broadview",36,1812.73,50.35
212041312,"Dandenong North",114,4654.08,40.83
211011446,"Boronia",202,8457.80,41.87
304041103,"The Gap",28,1452.06,51.86
303031063,"Mount Gravatt",77,3590.25,46.63
404011090,"Beverley",142,7060.98,49.73
116011303,"Blacktown (East) - Kings Park",449,9260.69,20.63
211051284,"Upwey - Tecoma",66,1746.33,26.46
211031267,"Ringwood East",82,2745.67,33.48
303021058,"Woolloongabba",522,15965.39,30.59
302041041,"Bracken Ridge",27,1358.42,50.31
305031126,"Kelvin Grove - Herston",282,11809.21,41.88
403041088,"Willunga",91,3942.00,43.32
310031288,"Ipswich - North",17,631.18,37.13
310021282,"Rosewood",130,5039.46,38.77
301011002,"Belmont - Gumdale",143,5732.43,40.09
403021059,"Hallett Cove",156,8164.83,52.34
402031036,"Enfield - Blair Athol",224,12334.98,55.07
401061022,"Walkerville",37,1693.59,45.77
402021030,"Elizabeth",71,2046.89,28.83
403021058,"Edwardstown",155,6438.44,41.54
404011096,"West Lakes",76,2794.32,36.77
401041015,"Paradise - Newton",139,7470.21,53.74
115031300,"Kurrajong Heights - Ebenezer",53,855.67,16.14
801061070,"Yarralumla",137,6727.68,49.11
801061131,"Kingston (ACT)",181,8208.32,45.35
601021008,"Lindisfarne - Rose Bay",72,2646.85,36.76
503011036,"Swanbourne - Mount Claremont",193,9313.74,48.26
507051188,"Rockingham",282,12885.71,45.69
504031057,"Beechboro",340,14442.97,42.48
505031105,"Mindarie - Quinns Rocks - Jindalee",123,5161.65,41.96
506041134,"Gosnells",102,4493.61,44.06
505031103,"Madeley - Darch - Landsdale",145,6177.19,42.60
506031131,"Willetton",108,5029.01,46.56
507011154,"Hamilton Hill",26,1034.16,39.78
506021119,"East Victoria Park - Carlisle",156,7269.61,46.60
119011358,"Padstow",47,1840.86,39.17
117011321,"Botany",59,2017.91,34.20
507041177,"Bicton - Palmyra",56,2875.34,51.35
504031066,"Midland - Guildford",101,5027.11,49.77
506011116,"Roleystone",51,2546.32,49.93
401021006,"Lobethal - Woodside",170,8976.01,52.80
125041494,"Winston Hills",14,584.86,41.78
127011592,"Badgerys Creek",9,-306.00,-34.00
303021053,"Coorparoo",121,5555.76,45.92
503011033,"Floreat",35,1411.45,40.33
505021088,"Innaloo - Doubleview",60,2155.70,35.93
506041135,"Huntingdale - Southern River",59,2546.87,43.17
504031059,"Ellenbrook",163,7351.28,45.10
507011260,"Jandakot",39,1764.79,45.25
122031430,"Manly Vale - Allambie Heights",79,3419.62,43.29
310011271,"Darra - Sumner",190,7651.93,40.27
