X1,Y1,X2,Y2,X3,Y3
,,151.317,-33.5582,,
,,151.3169,-33.5582,,
,,151.3169,-33.5582,,
,,151.3169,-33.5582,,
,,151.3168,-33.5582,,
,,151.3168,-33.5581,,
,,151.3168,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3166,-33.5581,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3165,-33.558,,
,,151.3165,-33.558,,
,,151.3164,-33.558,,
,,151.3164,-33.558,,
,,151.3164,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3162,-33.5578,,
,,151.3162,-33.5578,,
,,151.3162,-33.5577,,
,,151.3162,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.316,-33.5575,,
,,151.316,-33.5575,,
,,151.316,-33.5575,,
,,151.316,-33.5574,,
,,151.3159,-33.5574,,
,,151.3159,-33.5574,,
,,151.316,-33.5574,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5572,,
,,151.316,-33.5572,,
,,151.316,-33.5572,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5567,,
,,151.316,-33.5567,,
